device_id,ts,bat,acc1,acc2,acc3,acc4,acc5,wei,tmp1,tmp2,tmp3,lat,lon,ts_gps,checksum
f4f4f4f4,1544690386,4079,600,0,0,0,0,,295,293,290,3449.4140625,7117.23291015625,1544704724,28
f7f7f7f7,1544692592,4028,600,0,0,0,0,,374,377,359,0,0,0,61
f2f2f2f2,1544693479,3976,600,0,0,0,0,1.1532686361393244e-42,316,318,293,3449.441162109375,7117.24072265625,1544704739,db
f6f6f6f6,1544694322,4066,599,1,0,0,0,4.7840329572049255e-42,230,204,190,3449.379638671875,7117.2666015625,1544704738,6b
f3f3f3f3,1544693784,3873,600,0,0,0,0,4.734987510953557e-42,251,236,228,3449.388427734375,7117.28955078125,1544704747,d2
f5f5f5f5,1544693627,4034,600,0,0,0,0,,337,345,341,0,0,1544699587,86
f4f4f4f4,1544690426,4079,600,0,0,0,0,,295,293,290,3449.414794921875,7117.2333984375,1544704763,2e
f7f7f7f7,1544692631,4041,600,0,0,0,0,,374,377,359,0,0,0,fe
f2f2f2f2,1544693518,3976,600,0,0,0,0,1.1532686361393244e-42,318,317,294,3449.4443359375,7117.240234375,1544704780,cd
f6f6f6f6,1544694361,4066,600,0,0,0,0,4.702757646274086e-42,230,204,190,3449.3828125,7117.2919921875,1544704776,e8
f3f3f3f3,1544693824,3873,598,1,1,0,0,4.4925628766253635e-42,250,236,228,3449.40185546875,7117.2978515625,1544704788,a5
f5f5f5f5,1544693666,4028,600,0,0,0,0,,337,345,341,0,0,1544699587,20
f4f4f4f4,1544690465,4079,600,0,0,0,0,,293,292,289,3449.412109375,7117.23291015625,1544704803,14
f7f7f7f7,1544692670,4021,600,0,0,0,0,5.74532370373175e-44,374,377,359,0,0,0,82
f2f2f2f2,1544693556,3970,600,0,0,0,0,1.1658803223182478e-42,320,317,293,3449.44091796875,7117.2392578125,1544704817,de
f6f6f6f6,1544694400,4066,600,0,0,0,0,4.673330378523265e-42,230,204,190,3449.393798828125,7117.30029296875,1544704817,4f
f3f3f3f3,1544693863,3873,599,1,0,0,0,4.4925628766253635e-42,248,236,228,3449.38623046875,7117.29541015625,1544704826,d1
f5f5f5f5,1544693704,4028,600,0,0,0,0,,337,345,341,0,0,1544699587,59
f4f4f4f4,1544690505,4079,600,0,0,0,0,,292,290,289,3449.46337890625,7117.2470703125,1544704843,c6
f7f7f7f7,1544692710,4041,600,0,0,0,0,4.344025239406933e-44,374,377,359,0,0,0,90
f2f2f2f2,1544693595,3970,600,0,0,0,0,1.1602751284609485e-42,319,316,293,3449.44677734375,7117.23974609375,1544704864,cb
f6f6f6f6,1544694439,4060,600,0,0,0,0,4.6074693506999985e-42,229,204,190,3449.401611328125,7117.2958984375,1544704855,f4
f3f3f3f3,1544693902,3873,599,1,0,0,0,4.465938205803192e-42,246,236,228,3449.38330078125,7117.29150390625,1544704866,9f
